,ALL PEOPLE - Total D,ALL PEOPLE - Living in a couple,ALL PEOPLE - Not living in a couple,Males - Total,Males - Living in a couple,Males - Not living in a couple,Females - Total,Females - Living in a couple,Females - Not living in a couple
ALL PEOPLE,     96154,     47108,     49046,     46313,     23556,     22757,     49841,     23552,     26289
    0 to 15,     19765,         0,     19765,     10035,         0,     10035,      9730,         0,      9730
    16 to 19,      4517,       195,      4322,      2296,        47,      2249,      2221,       148,      2073
    20 to 24,      4773,      1452,      3321,      2292,       521,      1771,      2481,       931,      1550
    25 to 34,     12837,      7932,      4905,      6113,      3714,      2399,      6724,      4218,      2506
    35 to 39,      7571,      5481,      2090,      3686,      2700,       986,      3885,      2781,      1104
    40 to 44,      7101,      5249,      1852,      3477,      2607,       870,      3624,      2642,       982
    45 to 49,      6475,      4971,      1504,      3223,      2486,       737,      3252,      2485,       767
    50 to 54,      7028,      5499,      1529,      3480,      2749,       731,      3548,      2750,       798
    55 to 59,      5445,      4294,      1151,      2754,      2209,       545,      2691,      2085,       606
    60 to 64,      5085,      3802,      1283,      2447,      1950,       497,      2638,      1852,       786
    65 to 69,      4428,      3067,      1361,      2114,      1648,       466,      2314,      1419,       895
    70 to 74,      4087,      2431,      1656,      1818,      1331,       487,      2269,      1100,      1169
    75 to 79,      3503,      1703,      1800,      1423,       958,       465,      2080,       745,      1335
    80 to 84,      2080,       758,      1322,       742,       449,       293,      1338,       309,      1029
    85 to 89,      1047,       225,       822,       315,       155,       160,       732,        70,       662
    90 and over ,       412,        49,       363,        98,        32,        66,       314,        17,       297
